"시점","항목","업태별",데이터
"2020. 04","불변지수","의복·신발·가방 소매점",72.5
"2020. 04","불변지수","음식·가정· 문화상품 소매점",77.1
"2020. 04","불변지수","의약품·화장품·기타상품 소매점",93.1
"2020. 04","불변지수","무점포 소매",192.2
"2020. 04","불변지수","인터넷 쇼핑",253.4
"2020. 04","불변지수","홈쇼핑",133.3
"2020. 04","불변지수","방문 및 배달 소매점",77.8
"2020. 05","불변지수","총지수",118.6
"2020. 05","불변지수","백화점",98.5
"2020. 05","불변지수","대형마트",92.8
"2020. 05","불변지수","면세점",137.0
"2020. 05","불변지수","슈퍼마켓 및 잡화점",104.9
"2020. 05","불변지수","체인 슈퍼마켓",119.2
"2020. 05","불변지수","일반 슈퍼마켓 및 잡화점",97.4
"2020. 05","불변지수","편의점",158.8
"2020. 05","불변지수","승용차 및 연료 소매점",125.4
"2020. 05","불변지수","승용차 소매점",147.2
"2020. 05","불변지수","연료 소매점",105.5
"2020. 05","불변지수","전문소매점",94.6
"2020. 05","불변지수","가전·컴퓨터·통신기기 소매점",98.9
"2020. 05","불변지수","의복·신발·가방 소매점",96.3
"2020. 05","불변지수","음식·가정· 문화상품 소매점",85.8
"2020. 05","불변지수","의약품·화장품·기타상품 소매점",99.2
"2020. 05","불변지수","무점포 소매",201.9
"2020. 05","불변지수","인터넷 쇼핑",268.0
"2020. 05","불변지수","홈쇼핑",139.9
"2020. 05","불변지수","방문 및 배달 소매점",76.3
"2020. 06","불변지수","총지수",117.3
"2020. 06","불변지수","백화점",92.1
"2020. 06","불변지수","대형마트",89.1
"2020. 06","불변지수","면세점",148.3
"2020. 06","불변지수","슈퍼마켓 및 잡화점",98.7
"2020. 06","불변지수","체인 슈퍼마켓",111.5
"2020. 06","불변지수","일반 슈퍼마켓 및 잡화점",92.0
"2020. 06","불변지수","편의점",160.6
"2020. 06","불변지수","승용차 및 연료 소매점",137.8
"2020. 06","불변지수","승용차 소매점",174.5
"2020. 06","불변지수","연료 소매점",104.3
"2020. 06","불변지수","전문소매점",87.2
"2020. 06","불변지수","가전·컴퓨터·통신기기 소매점",100.2
"2020. 06","불변지수","의복·신발·가방 소매점",76.8
"2020. 06","불변지수","음식·가정· 문화상품 소매점",79.2
"2020. 06","불변지수","의약품·화장품·기타상품 소매점",98.9
"2020. 06","불변지수","무점포 소매",197.8
"2020. 06","불변지수","인터넷 쇼핑",261.7
"2020. 06","불변지수","홈쇼핑",139.2
"2020. 06","불변지수","방문 및 배달 소매점",74.2
"2020. 07","불변지수","총지수",111.2
"2020. 07","불변지수","백화점",85.2
"2020. 07","불변지수","대형마트",91.9
"2020. 07","불변지수","면세점",165.7
"2020. 07","불변지수","슈퍼마켓 및 잡화점",95.9
